iter	Passed	Remaining
0	0	48
1	0	43
2	1	42
3	1	39
4	2	38
5	2	37
6	2	37
7	3	37
8	3	38
9	4	37
10	4	36
11	4	36
12	5	35
13	5	34
14	6	34
15	6	33
16	6	33
17	7	32
18	7	32
19	7	31
20	8	31
21	8	30
22	9	30
23	9	30
24	9	29
25	10	29
26	10	28
27	10	28
28	11	27
29	11	27
30	12	27
31	12	26
32	13	26
33	13	26
34	13	25
35	14	25
36	14	24
37	14	24
38	15	23
39	15	23
40	16	23
41	16	22
42	16	22
43	16	21
44	17	21
45	17	20
46	18	20
47	18	19
48	18	19
49	19	19
50	19	18
51	19	18
52	20	17
53	20	17
54	20	16
55	21	16
56	21	16
57	21	15
58	22	15
59	22	15
60	22	14
61	23	14
62	23	13
63	24	13
64	24	13
65	24	12
66	25	12
67	25	12
68	25	11
69	26	11
70	26	10
71	27	10
72	27	10
73	27	9
74	28	9
75	28	9
76	29	8
77	29	8
78	29	7
79	30	7
80	30	7
81	30	6
82	31	6
83	31	6
84	31	5
85	32	5
86	32	4
87	33	4
88	33	4
89	33	3
90	34	3
91	34	2
92	34	2
93	35	2
94	35	1
95	35	1
96	36	1
97	36	0
98	36	0
99	36	0
