iter	Passed	Remaining
0	137	137771
1	139	69473
2	140	46695
3	142	35391
4	142	28439
5	143	23800
6	144	20476
7	145	17981
8	145	16041
9	146	14469
10	146	13193
11	147	12133
12	148	11237
13	148	10460
14	149	9784
15	149	9200
16	150	8681
17	150	8211
18	150	7795
19	151	7418
20	152	7091
21	152	6781
22	152	6497
23	153	6236
24	153	5998
25	154	5781
26	154	5580
27	155	5388
28	155	5213
29	156	5047
30	156	4892
31	156	4746
32	157	4610
33	157	4484
34	158	4363
35	158	4248
36	159	4142
37	159	4038
38	159	3941
39	160	3849
40	160	3760
41	161	3674
42	161	3591
43	161	3514
44	162	3439
45	162	3368
46	162	3299
47	163	3233
48	163	3170
49	163	3109
50	163	3050
51	164	2993
52	164	2940
53	164	2887
54	165	2836
55	165	2788
56	165	2740
57	165	2695
58	166	2651
59	166	2609
60	166	2568
61	167	2528
62	167	2490
63	167	2453
64	168	2417
65	168	2382
66	168	2348
67	168	2315
68	169	2283
69	169	2253
70	169	2222
71	170	2193
72	170	2164
73	170	2137
74	171	2110
75	171	2084
76	171	2058
77	172	2033
78	172	2008
79	172	1984
80	172	1961
81	173	1939
82	173	1915
83	173	1893
84	173	1872
85	174	1852
86	174	1832
87	174	1813
88	175	1794
89	175	1776
90	176	1758
91	176	1740
92	176	1723
93	176	1705
94	177	1689
95	177	1672
96	177	1656
97	178	1640
98	178	1625
99	178	1610
100	179	1595
101	179	1580
102	179	1566
103	180	1552
104	180	1538
105	180	1524
106	181	1511
107	181	1498
108	181	1485
109	182	1473
110	182	1460
111	182	1448
112	182	1436
113	183	1424
114	183	1412
115	183	1401
116	184	1389
117	184	1378
118	184	1367
119	184	1356
120	185	1346
121	185	1335
122	185	1325
123	186	1315
124	186	1305
125	186	1295
126	186	1285
127	187	1275
128	187	1266
129	187	1257
130	188	1248
131	188	1239
132	188	1230
133	189	1221
134	189	1213
135	189	1205
136	190	1197
137	190	1189
138	190	1182
139	191	1174
140	191	1166
141	191	1158
142	191	1150
143	192	1142
144	192	1135
145	192	1127
146	193	1120
147	193	1113
148	193	1106
149	193	1099
150	194	1092
151	194	1085
152	194	1078
153	195	1071
154	195	1065
155	195	1058
156	195	1052
157	196	1045
158	196	1039
159	196	1033
160	196	1026
161	197	1020
162	197	1014
163	197	1008
164	198	1002
165	198	996
166	198	991
167	198	985
168	199	979
169	199	974
170	199	968
171	200	963
172	200	957
173	200	952
174	200	947
175	201	942
176	201	937
177	201	932
178	202	927
179	202	922
180	202	917
181	202	912
182	203	907
183	203	902
184	203	897
185	204	892
186	204	888
187	204	883
188	205	879
189	205	875
190	205	871
191	206	867
192	206	862
193	206	858
194	206	854
195	207	850
196	207	846
197	207	842
198	208	837
199	208	833
200	208	829
201	209	825
202	209	821
203	209	817
204	209	813
205	210	809
206	210	806
207	210	802
208	210	798
209	211	794
210	211	791
211	211	787
212	212	783
213	212	780
214	212	776
215	213	773
216	213	769
217	213	766
218	213	762
219	214	759
220	214	755
221	214	752
222	215	749
223	215	745
224	215	742
225	215	739
226	216	736
227	216	732
228	216	729
229	217	726
230	217	723
231	217	720
232	217	717
233	218	714
234	218	710
235	218	707
236	218	704
237	219	701
238	219	699
239	219	696
240	220	693
241	220	690
242	220	687
243	220	684
244	221	681
245	221	678
246	221	676
247	222	673
248	222	670
249	222	667
250	222	665
251	223	662
252	223	659
253	223	657
254	224	654
255	224	651
256	224	649
257	224	646
258	225	644
259	225	641
260	225	639
261	226	636
262	226	634
263	226	631
264	226	629
265	227	626
266	227	624
267	227	621
268	227	619
269	228	617
270	228	614
271	228	612
272	229	609
273	229	607
